Epoch: [0][310/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 49.5543 (49.3595)	Count-loss 51.5718 (4.2133)	
Epoch: [0][315/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 22.3314 (49.0018)	Count-loss 26.6917 (4.3962)	
Epoch: [0][320/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 81.0936 (48.9241)	Count-loss 0.7445 (4.3741)	
Epoch: [0][325/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 18.0832 (49.6522)	Count-loss 29.4995 (4.4048)	
Epoch: [0][330/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 15.0163 (49.4828)	Count-loss 27.6712 (4.4511)	
Epoch: [0][335/360]	Time 0.156 (0.156)	Data 0.015 (0.015)	Loss 141.7820 (49.7143)	Count-loss 0.0105 (4.3989)	
Epoch: [0][340/360]	Time 0.156 (0.156)	Data 0.014 (0.015)	Loss 23.7251 (51.0306)	Count-loss 12.5927 (4.4684)	
Epoch: [0][345/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 18.9227 (50.6976)	Count-loss 31.3719 (4.5375)	
Epoch: [0][350/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 12.4377 (50.4041)	Count-loss 0.3701 (4.4945)	
Epoch: [0][355/360]	Time 0.156 (0.156)	Data 0.016 (0.015)	Loss 8.2317 (50.0378)	Count-loss 0.2704 (4.4347)	
Epoch: [1][0/360]	Time 0.121 (0.121)	Data 0.018 (0.018)	Loss 11.8751 (11.8751)	Count-loss 1.5097 (1.5097)	
Epoch: [1][5/360]	Time 0.156 (0.150)	Data 0.015 (0.016)	Loss 6.2875 (14.6545)	Count-loss 0.5155 (0.4379)	
Epoch: [1][10/360]	Time 0.156 (0.153)	Data 0.015 (0.015)	Loss 99.5407 (29.8896)	Count-loss 0.0089 (0.2618)	
Epoch: [1][15/360]	Time 0.156 (0.154)	Data 0.015 (0.015)	Loss 37.0410 (26.8470)	Count-loss 0.0021 (0.2476)	
Epoch: [1][20/360]	Time 0.156 (0.154)	Data 0.015 (0.015)	Loss 7.1321 (26.7283)	Count-loss 0.4333 (0.2747)	
